num_flows,avg_dur,std_dev_dur,percent_stdev_dur,total_size_of_flows_orig,total_size_of_flows_resp,ratio_of_sizes,percent_of_established_states,inbound_pckts,outbound_pckts,periodicity_avg,periodicity_stdev,ssl_ratio,average_public_key,tls_version_ratio,avg_cert_length,stdev_cert_length,is_valid_certificate_during_capture,amount_diff_certificates,num_domains_in_cert,cert_ratio,num_certificate_path,x509_ssl_ratio,SNI_ssl_ratio,self_signed_ratio,is_SNIs_in_SNA_dns,SNI_equal_DstIP,is_CNs_in_SNA_dns,ratio_of_differ_SNI_in_ssl_log,ratio_of_differ_subject_in_ssl_log,ratio_of_differ_issuer_in_ssl_log,ratio_of_differ_subject_in_cert,ratio_of_differ_issuer_in_cert,ratio_of_differ_sandns_in_cert,ratio_of_same_subjects,ratio_of_same_issuer,ratio_is_same_CN_and_SNI,avg_certificate_exponent,is_SNI_in_top_level_domain,ratio_certificate_path_error,ratio_missing_cert_in_cert_path,label,detailedlabel,id.orig_h,id.resp_h,id.resp_p,proto,day,hour
1,1.4e-05,0.0,0.0,278,0,0.0,0.0,0,2,-1,-1,0.0,-1,0.0,-1,-1,-1,0,-1,-1,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1.0,-1,-1,Malicious,External-Attack-to-Device,167.94.138.x12,147.32.83.234,5684,udp,0,2
1,7e-06,0.0,0.0,284,0,0.0,0.0,0,2,-1,-1,0.0,-1,0.0,-1,-1,-1,0,-1,-1,1.0,0.0,1.0,0.0,-1,-1,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0.0,-1,-1,Malicious,External-Attack-to-Device,146.88.240.x5,147.32.83.234,443,udp,0,8
4,36.80674425,34.73695204285271,0.25,3106,27932,8.992916934964585,1.0,43,49,14.823583364486694,14.797106504440308,1.0,-1.0,0.0,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,104.64.162.245,443,tcp,0,11
2,60.331985,0.0418040000000026,0.5,578,5063,8.759515570934257,1.0,7,16,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,Microsoft,147.32.83.x8,52.232.209.85,443,tcp,0,11
16,22.488344687500003,10.23886013725075,0.1875,104816,34399,0.3281846283010227,0.875,247,346,220.95556340898787,303.49577150763207,0.1428571428571428,2048.0,0.5714285714285714,365.0,0.0,0,1,5.0,0.497856183475457,1.0,0.0714285714285714,1.0,0.0,-1,0,1,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65537.0,0.1428571428571428,-1,-1,Benign,(empty),147.32.83.x8,52.42.140.83,443,tcp,0,11
1,615.767248,0.0,0.0,21597,22360,1.0353289808769737,1.0,169,196,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,3.67.35.217,443,tcp,0,11
1,15040.984731,0.0,0.0,4191,6226,1.4855643044619422,1.0,623,462,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,192.241.189.104,443,tcp,0,11
11,1910.5744059090905,4004.083575181609,0.0909090909090909,562494,958002,1.7031328334168898,0.6363636363636364,3198,2867,158.17682955000134,234.76068710561944,0.5714285714285714,-1.0,0.7142857142857143,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,147.32.3.31,443,tcp,0,11
7,418.055847,487.4379115012279,0.2857142857142857,187841,140824,0.7496978827838437,1.0,904,839,327.77353181838987,328.68838320846595,2.5,-1.0,0.0,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,3.68.124.168,443,tcp,0,11
8,305.16624749999994,108.796378845591,0.25,9671,8618,0.891117774790611,1.0,265,207,162.8760553995768,126.26388647503175,0.1428571428571428,-1.0,0.8571428571428571,-1.0,-1.0,-1,0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,Benign,(empty),147.32.83.x8,65.9.94.12,443,tcp,0,11
